"endTime,artistName,trackName,msPlayed"
"2022-06-07 00:49,Romansenykmusic,Inspiring Uplifting Motivational Cinematic,118936"
"2022-06-07 00:52,Conti Music,It's a Beautiful Life (Inspiring Royalty Free Music),147511"
"2022-06-07 00:53,Wanted Carter,Sad LoFi Hip Hop Beat to study relax sleep to chilled cow,63164"
"2022-06-07 00:55,Sound Gallery by Dmitry Taras,Award Ceremony,171636"
"2022-06-07 00:58,DepasRec,Corporate Technology (Business Background Music),139479"
"2022-06-07 01:00,Carmen King,Osorath Enclave,39822"
"2022-06-07 01:00,Musway Studio,""Trailer (No Copyright Music), Ver. 2"",105814"
"2022-06-07 01:02,Jon Björk,The Battle of Mount Valor,123564"
"2022-06-07 01:05,Conti Music,A Day in the Sun (Happy and Uplifting Royalty Free Music),191815"
"2022-06-07 01:07,Hodges Heard,Love His Mind,117814"
"2022-06-07 01:09,StockXL,Tropical Deep House,120000"
"2022-06-07 01:12,Musway Studio,Dance House,176014"
"2022-06-07 01:13,Billie Pearce,Teodolinda Brunelli,61729"
"2022-06-07 01:16,MokkaMusic,Luminos,129401"
"2022-06-07 01:17,To The Tower,Foggy Figure,85882"
"2022-06-07 01:20,DepasRec,Inspiring Dense Cheerful Minimal,159123"
"2022-06-07 01:22,Florews,Patriot,146257"
"2022-06-07 01:24,Musway Studio,""Cinemtic Ambient (No Copyright Music), Ver. 2"",90825"
"2022-06-07 01:26,Osuna Meyer,She Thinks He's A Gangsta,119976"
"2022-06-07 01:27,Angel Turner,Gear Centaurs,61091"
"2022-06-07 01:28,Billy Atkinson,Crimson Geulimja,61091"
"2022-06-07 01:30,JayJen,Sunlight,145171"
"2022-06-07 01:32,StockXL,Tropical Mood,132501"
"2022-06-07 01:35,Musway Studio,Christmas Holiday,148028"
"2022-06-07 01:36,Lux-Inspira,People Power,82667"
"2022-06-07 01:40,Liborio Conti,Amazing,233326"
"2022-06-07 01:41,Musway Studio,Inspirational Epic (No Copyright Music) - Ver. 2,71796"
"2022-06-07 01:43,Vlad Gluschenko,Spring Walk,125163"
"2022-06-07 01:45,MENESES SCRUGGS,She Knows I Need You,119814"
"2022-06-07 01:48,StockXL,Tropical Inspiring Pop,126512"
"2022-06-07 01:50,Carbone VoSS,He Said You're On My Mind,119814"
"2022-06-07 01:50,Musway Studio,Tropical Dance (No Copyright Music) - Ver. 3,40862"
"2022-06-07 01:51,Alexis Scott,Klepto Clem,61729"
"2022-06-07 01:54,Romansenykmusic,Epic Cinematic Dramatic Adventure Trailer,136236"
"2022-06-07 01:56,Teran Stoner,She Heard I Need You,119814"
"2022-06-07 01:58,MaxKoMusic,Shutter,131814"
"2022-06-07 02:00,StockXL,Background Music For Travel,153287"
"2022-06-07 02:01,Musway Studio,Summer Positive (No Copyright Music) - Ver. 3,35794"
"2022-06-07 02:03,Liborio Conti,Scary,112533"
"2022-06-07 02:05,ScanloN THORSON,I Hope He Likes To Party,125000"
"2022-06-07 02:08,MokkaMusic,Liberty,189327"
"2022-06-07 02:11,Borrtex,Enjoy the Game,173291"
"2022-06-07 02:13,StockXL,The Tropical,120001"
"2022-06-07 02:15,Musway Studio,Ambient (No Copyright Music) - Ver. 1,129811"
"2022-06-07 02:19,Alexander Nakarada,Reaching the Sky - Long Version,253314"
"2022-06-07 02:21,lerralera,Pirates,74002"
"2022-06-07 02:22,Reynard Seidel,Catasterism,108867"
"2022-06-07 02:26,Bob Bradley,Into Battle,190991"
"2022-06-07 02:28,StockXL,Romantic Travel Ambient,132508"
"2022-06-07 02:30,Musway Studio,Merry Christmas,149839"
"2022-06-07 02:33,Austin Fray,Tension and Tasking Strings,133706"
"2022-06-07 02:35,OZO,Bell For The Butler,138740"
"2022-06-07 02:36,Lil Yonk0,Countless Hours,66610"
"2022-06-07 02:38,Zimmerman Whalen,""Babe, You're Wild"",117814"
"2022-06-07 02:40,StockXL,Tropical Inspiring,126723"
"2022-06-07 02:41,Musway Studio,""Fun, Ver. 3"",35005"
"2022-06-07 02:44,Romansenykmusic,Trailer Epic Action,196998"
"2022-06-07 02:46,David Agoglia,Pepperpot,120001"
"2022-06-07 02:48,Chase Kearney,""Sweetie, Come Back"",118000"
"2022-06-07 02:50,Frederic Sans,The Kingdom,129823"
"2022-06-07 02:52,Musway Studio,Inspirational Fantastic Epic,131809"
"2022-06-07 02:54,Mothense,Plumipes,92252"
"2022-06-07 02:56,Romansenykmusic,Successful Business,151579"
"2022-06-07 02:58,J-Eclectic,Falling,104542"
"2022-06-07 02:59,Glenn Burton,Torment Werewolves,61689"
"2022-06-07 03:01,Musway Studio,""Cinemtic Ambient (No Copyright Music), Ver. 1"",134748"
"2022-06-07 03:02,Giorgio Di Campo,Nylon Guitar,53823"
"2022-06-07 03:04,Little Ziegler,I Hope I Love Somebody,117976"
"2022-06-07 03:06,Weis Mcmullen,She Heard I Got It,119814"
"2022-06-07 03:09,Liborio Conti,Tropical,187452"
"2022-06-07 03:12,Musway Studio,Ambient Hip-Hop,155763"
"2022-06-07 03:13,Paul Werner,Heroic Firework,47104"
"2022-06-07 03:15,Wanted Carter,Please Don't Go,120001"
"2022-06-07 03:16,Giorgio Di Campo,Harmonica,54497"
"2022-06-07 03:18,Musway Studio,""Positive (No Copyright Music), Ver. 3"",36804"
"2022-06-07 03:18,ChillMindscapes,Think Of Nostalgia,125098"
"2022-06-07 03:21,Giorgio Di Campo,Viola,48974"
"2022-06-07 03:21,Musway Studio,Summer Positive (No Copyright Music) - Ver. 1,127820"
"2022-06-07 03:25,Conti Music,Acoustic Dreams (Dreamy Royalty Free Music),211012"
"2022-06-07 03:26,Infraction,Titan,89815"
"2022-06-07 03:29,Eoin Mantell,Civilization Meltdown,141814"
"2022-06-07 03:31,Musway Studio,Fantastic Journey,141052"
"2022-06-07 03:33,Stout HoaNG,Sound Of Yesterday,117814"
"2022-06-07 03:35,scaloni split,Días Felices,127431"
"2022-06-07 03:39,Conti Music,Getting There (Cinematic Royalty Free Music),198967"
"2022-06-07 03:41,Romansenykmusic,Anthem of Inspiration,151875"
"2022-06-07 03:44,Musway Studio,Inspirational Epic (No Copyright Music) - Ver. 1,173825"
"2022-06-07 03:47,Brusspup,Over Rain,191439"
"2022-06-07 03:49,Angy O'Letta,Morning Dream,127185"
"2022-06-07 03:51,Worden DILL,She Knows He Belongs On The Streets,120000"
"2022-06-07 03:55,Conti Music,Spring's Reflection (Motivational Royalty Free Music),224688"
"2022-06-07 03:57,Musway Studio,Summer Dance,106812"
"2022-06-07 04:00,Romansenykmusic,Protect Our Home,169338"
"2022-06-07 04:02,MusicbyAden,River,134358"
"2022-06-07 04:04,Mehmet Akif Soylu,MXX,153075"
"2022-06-07 04:05,Giorgio Di Campo,Organ,53529"
"2022-06-07 04:07,Musway Studio,""Cheerful, Ver. 1"",122822"
"2022-06-07 04:10,Conti Music,Cinspirational (Cinematic Royalty Free Music),131293"
"2022-06-07 04:11,Liz Flower,Beautiful Night,101875"
"2022-06-07 04:14,KARATULA MAXIMA,Arena Movediza,148562"
"2022-06-07 04:16,Blocker mcclendon,I Need You,120000"
"2022-06-07 04:18,Musway Studio,Tropical Dance (No Copyright Music) - Ver. 1,115862"
"2022-06-07 04:20,Jon Björk,The Great War,153734"
"2022-06-07 04:22,Wanted Carter,No Copyright Background Music For Youtube Twitch Facebook Instagram Travelling Beat,91426"
"2022-06-07 04:25,Conti Music,Good Morning Sunshine (Happy and Uplifting Royalty Free Music),168024"
"2022-06-07 04:27,Xamadeur,Secreto A Voces,162344"
"2022-06-07 04:28,Musway Studio,""Cheerful, Ver. 3"",35016"
"2022-06-07 04:30,Songs To Your Eyes,Aomori,137814"
"2022-06-07 04:32,Ainsworth Corley,She Thinks She's Guilty,119814"
"2022-06-07 04:36,Romansenykmusic,Trailer Sport Action Motivational,231814"
"2022-06-07 04:39,George Webster,The Next Chapter,199831"
"2022-06-07 04:42,Musway Studio,Epic Inspirational Sport,127025"
"2022-06-07 04:44,Hendrick Luther,""Baby, Let's Talk About It"",119981"
"2022-06-07 04:46,Conti Music,I Can (Motivational Royalty Free Music),161784"
"2022-06-07 04:49,DepasRec,Positive business corporate,174590"
"2022-06-07 04:52,Romansenykmusic,Epic Drama Cinematic Trailer,188000"
"2022-06-07 04:54,Musway Studio,""Fun, Ver. 1"",122822"
"2022-06-07 04:55,Giorgio Di Campo,Strumming,48244"
"2022-06-07 04:56,Giorgio Di Campo,Strumming,12376"
"2022-06-07 05:44,Jalen & Jacoby,Warriors strike back,2281418"
"2022-06-07 05:44,Giorgio Di Campo,Strumming,50099"
"2022-06-07 09:23,The Draymond Green Show,The Draymond Green Show - Game 2 Recap: The Dray/Jaylen Play,1425742"
"2022-06-07 13:12,The Colin and Samir Show,How Ryan Trahan Changed YouTube with a Penny,647158"
"2022-06-07 15:22,Luke Bryan,Play It Again,5240"
"2022-06-07 15:26,Luke Combs,Forever After All,232534"
"2022-06-07 15:30,Luke Combs,When It Rains It Pours,239979"
"2022-06-07 15:33,Luke Combs,Beautiful Crazy,193198"
"2022-06-07 15:38,Luke Combs,Doin' This,254182"
"2022-06-07 15:41,Luke Combs,Beer Never Broke My Heart,186734"
"2022-06-07 15:44,Luke Combs,She Got the Best of Me,182974"
"2022-06-07 15:48,Luke Combs,Hurricane,222534"
"2022-06-07 15:51,Luke Combs,Better Together,219574"
"2022-06-07 15:54,Luke Combs,Cold As You,186107"
"2022-06-07 15:58,Luke Combs,Tomorrow Me,208548"
"2022-06-07 16:01,Luke Combs,Beer Never Broke My Heart,186548"
"2022-06-07 16:04,Luke Combs,Refrigerator Door,204240"
"2022-06-07 16:08,Luke Combs,Even Though I'm Leaving,225068"
"2022-06-07 16:11,Luke Combs,Lovin' On You,194681"
"2022-06-07 16:15,Luke Combs,Moon Over Mexico,204640"
"2022-06-07 16:18,Luke Combs,""1, 2 Many"",179816"
"2022-06-07 16:21,Luke Combs,Blue Collar Boys,219734"
"2022-06-07 16:25,Luke Combs,New Every Day,199108"
"2022-06-07 16:28,Luke Combs,Reasons,224177"
"2022-06-07 16:33,Luke Combs,Every Little Bit Helps,247641"
"2022-06-07 16:36,Luke Combs,Dear Today,219548"
"2022-06-07 16:39,Luke Combs,What You See Is What You Get,171920"
"2022-06-07 16:43,Luke Combs,Does To Me (feat. Eric Church),223320"
"2022-06-07 16:47,Luke Combs,Angels Workin' Overtime,253601"
"2022-06-07 16:51,Luke Combs,All Over Again,208880"
"2022-06-07 16:54,Luke Combs,Nothing Like You,196134"
"2022-06-07 16:58,Luke Combs,Better Together,219574"
"2022-06-07 17:01,Luke Combs,Six Feet Apart,198881"
"2022-06-07 17:04,Luke Combs,Cold As You,186107"
"2022-06-07 17:07,Luke Combs,The Other Guy,190009"
"2022-06-07 17:12,Luke Combs,My Kinda Folk,267121"
"2022-06-07 17:15,Luke Combs,Without You,224987"
"2022-06-07 17:19,Luke Combs,Forever After All,232348"
"2022-06-07 17:22,Luke Combs,Beer Never Broke My Heart,186734"
"2022-06-07 17:26,Luke Combs,Refrigerator Door,204054"
"2022-06-07 17:30,Luke Combs,Even Though I'm Leaving,225068"
"2022-06-07 17:33,Luke Combs,Lovin' On You,194867"
"2022-06-07 17:36,Luke Combs,Moon Over Mexico,204454"
"2022-06-07 17:39,Luke Combs,""1, 2 Many"",179764"
"2022-06-07 17:43,Luke Combs,Blue Collar Boys,219734"
"2022-06-07 17:46,Luke Combs,New Every Day,199108"
"2022-06-07 17:50,Luke Combs,Reasons,224177"
"2022-06-07 17:54,Luke Combs,Every Little Bit Helps,247641"
"2022-06-07 17:58,Luke Combs,Dear Today,219734"
"2022-06-07 18:01,Luke Combs,What You See Is What You Get,171848"
"2022-06-07 18:04,Luke Combs,Does To Me (feat. Eric Church),223134"
"2022-06-07 18:09,Luke Combs,Angels Workin' Overtime,253787"
"2022-06-07 18:12,Luke Combs,All Over Again,208694"
"2022-06-07 18:15,Luke Combs,Nothing Like You,196134"
"2022-06-07 18:19,Luke Combs,Better Together,219388"
"2022-06-07 18:22,Luke Combs,Six Feet Apart,198883"
"2022-06-07 18:26,Luke Combs,Out There,203494"
"2022-06-07 18:29,Luke Combs,Memories Are Made Of,216481"
"2022-06-07 18:33,Luke Combs,Lonely One,206107"
"2022-06-07 18:36,Luke Combs,Beer Can,210002"
"2022-06-07 18:40,Luke Combs,Hurricane,222348"
"2022-06-07 18:43,The Colin and Samir Show,How Ryan Trahan Changed YouTube with a Penny,451605"
"2022-06-07 18:44,Luke Combs,One Number Away,221614"
"2022-06-07 18:47,Luke Combs,Don't Tempt Me,211681"
"2022-06-07 18:51,Luke Combs,When It Rains It Pours,240002"
"2022-06-07 18:55,Luke Combs,This One's for You,229831"
"2022-06-07 18:58,Luke Combs,Be Careful What You Wish For,175308"
"2022-06-07 19:02,Luke Combs,I Got Away with You,227374"
"2022-06-07 19:05,Luke Combs,Honky Tonk Highway,211894"
"2022-06-07 19:09,Luke Combs,""Houston, We Got a Problem"",191801"
"2022-06-07 19:12,Luke Combs,Must've Never Met You,198694"
"2022-06-07 19:15,Luke Combs,Beautiful Crazy,193007"
"2022-06-07 19:19,Luke Combs,A Long Way,217094"
"2022-06-07 19:22,Luke Combs,She Got the Best of Me,182963"
"2022-06-07 19:25,Luke Combs,Out There,203484"
"2022-06-07 19:29,Luke Combs,Memories Are Made Of,216449"
"2022-06-07 19:32,Luke Combs,Lonely One,205921"
"2022-06-07 19:36,Luke Combs,Beer Can,209816"
"2022-06-07 19:39,Luke Combs,Hurricane,222348"
"2022-06-07 19:43,Luke Combs,One Number Away,221580"
"2022-06-07 19:47,Luke Combs,Don't Tempt Me,211681"
"2022-06-07 19:51,Luke Combs,When It Rains It Pours,239977"
"2022-06-07 19:54,Luke Combs,This One's for You,230180"
"2022-06-07 19:57,Luke Combs,Be Careful What You Wish For,175308"
"2022-06-07 20:01,Luke Combs,I Got Away with You,227375"
"2022-06-07 20:05,Luke Combs,Honky Tonk Highway,212104"
"2022-06-07 20:08,Luke Combs,Tomorrow Me,208548"
"2022-06-07 20:12,Luke Combs,Doin' This,253996"
"2022-06-07 20:15,Luke Combs,South On Ya,171679"
"2022-06-07 20:19,Luke Combs,Forever After All,232348"
"2022-06-07 20:23,Luke Combs,The Great Divide,211805"
"2022-06-07 20:26,Luke Combs,Six Feet Apart,198860"
"2022-06-07 20:30,Jameson Rodgers,Cold Beer Calling My Name,209816"
"2022-06-07 20:33,Luke Combs,Let's Just Be Friends - From The Angry Birds Movie 2,199311"
"2022-06-07 20:36,Luke Combs,Beautiful Crazy - Acoustic,193072"
"2022-06-07 20:39,Luke Combs,Beautiful Crazy (feat. Leon Bridges) - Live,186234"
"2022-06-07 20:43,Leon Bridges,Beyond (feat. Luke Combs) - Live,246737"
"2022-06-07 20:47,Luke Combs,One Number Away - Recorded At Sound Stage Nashville,224802"
"2022-06-07 20:51,Luke Combs,Dive - Recorded At Sound Stage Nashville,259989"
"2022-06-07 20:55,Luke Combs,Used to You,236530"
"2022-06-07 20:59,Luke Combs,Sheriff You Want To,221120"
"2022-06-07 21:03,Luke Combs,Can I Get an Outlaw,238641"
"2022-06-07 21:06,Luke Combs,The Way She Rides,165475"
"2022-06-07 21:09,Luke Combs,I Know She Ain't Ready,184561"
"2022-06-07 21:12,Luke Combs,Let the Moonshine,209081"
"2022-06-07 21:26,Luke Combs,Forever After All,232534"
"2022-06-07 21:30,Luke Combs,When It Rains It Pours,239979"
"2022-06-07 21:32,Luke Combs,Beautiful Crazy,115079"
"2022-06-07 21:36,Luke Combs,Forever After All,232534"
"2022-06-07 21:40,Luke Combs,When It Rains It Pours,240182"
"2022-06-07 21:43,Luke Combs,Beautiful Crazy,192996"
"2022-06-07 21:47,Luke Combs,Doin' This,253990"
"2022-06-07 21:50,Luke Combs,Beer Never Broke My Heart,186548"
"2022-06-07 21:53,Luke Combs,She Got the Best of Me,183160"
"2022-06-07 21:57,Luke Combs,Hurricane,222348"
"2022-06-07 22:08,Luke Combs,Better Together,94209"
"2022-06-08 00:07,Luke Combs,Forever After All,232534"
"2022-06-08 00:11,Luke Combs,When It Rains It Pours,239979"
"2022-06-08 00:14,Luke Combs,Beautiful Crazy,192993"
"2022-06-08 00:18,Luke Combs,Doin' This,254167"
"2022-06-08 00:21,Luke Combs,Beer Never Broke My Heart,186734"
"2022-06-08 00:33,Luke Combs,She Got the Best of Me,153348"
"2022-06-08 01:23,Justin Bieber,2 Much,20456"
"2022-06-08 01:27,Luke Combs,Forever After All,232533"
"2022-06-08 01:30,Luke Combs,Better Together,55337"
"2022-06-08 01:30,Ultimate Party Mixers,YMCA,85"
"2022-06-08 01:30,Ultimate Party Mixers,YMCA,19312"
"2022-06-08 01:33,Journey,Don't Stop Believin',4591"
"2022-06-08 01:33,Marvin Gaye,Ain't No Mountain High Enough,151666"
"2022-06-08 03:56,The Ringer NBA Show,""NBA Finals Fact or Fiction, Plus Coaching Hot Stove | Group Chat"",42260"
"2022-06-08 04:46,The Ringer NBA Show,""NBA Finals Fact or Fiction, Plus Coaching Hot Stove | Group Chat"",2845452"
"2022-06-08 05:00,The Ringer NBA Show,""NBA Finals Fact or Fiction, Plus Coaching Hot Stove | Group Chat"",769731"
